arm,step,epoch,val_HIT1_VG,val_R1_05,val_R1_07,val_mAP_avg,val_mAP_long,val_mAP_middle,val_mAP_short,train_loss
baseline,56,1,20.580646514892578,8.967741966247559,2.9677419662475586,4.789923667907715,4.491559028625488,6.538171291351318,0.08029007911682129,43.79941177368164
baseline,113,2,27.677419662475586,8.967741966247559,2.7096774578094482,5.250730037689209,2.020504951477051,8.86161994934082,0.28045952320098877,32.877593994140625
baseline,170,3,32.903228759765625,9.22580623626709,2.6451613903045654,6.016178131103516,2.6984195709228516,10.013348579406738,0.1647241711616516,28.255578994750977
baseline,227,4,34.45161437988281,9.741935729980469,2.7096774578094482,6.214449405670166,3.2911930084228516,9.834071159362793,0.20253820717334747,27.098161697387695
baseline,284,5,36.90322494506836,12.258064270019531,3.3548388481140137,7.089415073394775,3.5337750911712646,11.390314102172852,0.22074222564697266,26.234683990478516
baseline,341,6,41.48387145996094,11.870967864990234,3.4838709831237793,6.881796360015869,3.4466359615325928,11.264265060424805,0.16650941967964172,25.336505889892578
baseline,398,7,44.38710021972656,9.935483932495117,4.000000476837158,6.616641044616699,3.898968458175659,10.360422134399414,0.16824841499328613,24.916839599609375
baseline,455,8,47.096778869628906,7.806451797485352,2.5806453227996826,4.688697814941406,1.2757625579833984,8.612174987792969,0.7000396251678467,24.43778419494629
baseline,512,9,50.32257843017578,16.1290340423584,5.4193549156188965,6.761535167694092,1.6303129196166992,11.583813667297363,2.4210314750671387,23.86724281311035
baseline,569,10,52.580650329589844,22.000001907348633,8.451613426208496,14.997251510620117,5.549962520599365,24.357568740844727,1.5848246812820435,23.0739803314209
baseline,626,11,55.161293029785156,28.387096405029297,12.451613426208496,19.78597640991211,17.47289276123047,26.353553771972656,0.9796877503395081,22.347497940063477
baseline,683,12,58.45161819458008,33.870967864990234,14.258064270019531,22.39042091369629,24.284273147583008,26.052244186401367,1.945705533027649,21.747142791748047
baseline,740,13,58.903228759765625,39.806453704833984,15.225807189941406,21.6676025390625,27.087129592895508,23.254207611083984,1.1294695138931274,21.45747184753418
baseline,797,14,59.8709716796875,44.32258224487305,18.580644607543945,23.533302307128906,28.861177444458008,25.33342170715332,2.0550262928009033,20.953861236572266
baseline,854,15,62.58064651489258,46.580650329589844,23.612903594970703,26.486652374267578,34.44554901123047,27.280893325805664,1.661057710647583,20.58639144897461
baseline,911,16,62.32258224487305,46.580650329589844,24.322582244873047,26.450044631958008,34.22526931762695,26.831377029418945,2.3394594192504883,20.299606323242188
baseline,968,17,61.41935729980469,49.61290740966797,24.774192810058594,26.61028480529785,30.748315811157227,29.010787963867188,1.9118443727493286,19.983531951904297
baseline,1025,18,64.32258605957031,56.0,30.322582244873047,30.256147384643555,35.23509216308594,32.88969421386719,2.6744577884674072,19.738309860229492
baseline,1082,19,65.67742156982422,51.4838752746582,26.774194717407227,27.82023811340332,36.581485748291016,27.71317481994629,2.334373950958252,19.506166458129883
baseline,1139,20,65.03226470947266,53.67742156982422,30.709678649902344,30.27430534362793,32.88254165649414,33.90708541870117,4.151410102844238,19.335952758789062
baseline,1196,21,66.12903594970703,57.8709716796875,31.612905502319336,31.644575119018555,36.2291145324707,35.0789794921875,2.838531494140625,19.175901412963867
baseline,1253,22,67.29032135009766,59.8709716796875,36.83871078491211,34.054931640625,42.1296501159668,36.20771026611328,3.09224534034729,19.127368927001953
baseline,1310,23,65.80645751953125,59.22581100463867,33.870967864990234,32.05087661743164,37.95111846923828,33.77426528930664,5.49479866027832,18.85936737060547
baseline,1367,24,67.29032135009766,57.22581100463867,32.38710021972656,30.965557098388672,34.01811218261719,33.82707214355469,6.4318437576293945,18.66860008239746
baseline,1424,25,68.90322875976562,61.67742156982422,38.19355010986328,35.2441291809082,40.26643371582031,37.50101089477539,7.0783257484436035,18.579437255859375
baseline,1481,26,68.45161437988281,62.45161437988281,32.903228759765625,32.02667236328125,31.398672103881836,37.52898406982422,5.975453853607178,18.48978614807129
baseline,1538,27,69.16129302978516,64.6451644897461,44.000003814697266,38.78202819824219,43.963382720947266,42.54438781738281,4.938207149505615,18.319578170776367
baseline,1595,28,68.83870697021484,63.677425384521484,40.064517974853516,36.18989181518555,39.81223678588867,39.625675201416016,6.2818603515625,18.225080490112305
baseline,1652,29,68.45161437988281,63.096778869628906,41.93548583984375,37.52337646484375,44.476104736328125,39.0833740234375,7.001492977142334,18.05960464477539
baseline,1709,30,69.35484313964844,65.35484313964844,44.77419662475586,39.276695251464844,49.09955596923828,40.355709075927734,6.334921836853027,17.93677520751953
baseline,1766,31,70.12903594970703,67.80644989013672,47.93548583984375,41.79487609863281,46.31802749633789,46.14807891845703,7.923471927642822,17.878877639770508
baseline,1823,32,69.61290740966797,66.83871459960938,48.645164489746094,41.97876739501953,51.12071228027344,43.36028289794922,8.095927238464355,17.7094783782959
baseline,1880,33,69.41935729980469,68.25806427001953,48.19355010986328,41.46784973144531,47.02510452270508,44.78608703613281,8.845775604248047,17.67842674255371
